id,url,title,rev_host,visit_count,hidden,typed,favicon_id,frecency,last_visit_date,guid,foreign_count
36,https://www.google.com/search?q=toxic+waste+candy&client=browser-ubuntu&hs=dAi&channel=fe&hl=en&biw=638&bih=355&source=lnms&tbm=isch&sa=X&sqi=2&ved=0CAgQ_AUoA2oVChMIqtKl95T3yAIVCFoeCh3z8A0D#imgrc=Vx3VVkw9YAmvfM%3A,toxic waste candy - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44665E+15,jpq_onYnS3dt,0
37,http://www.marthasbackyard.co.nz/images/toxic%20waste%201.7%20oz.jpg,"toxic waste 1.7 oz.jpg (JPEG Image, 375 × 339 pixels)",zn.oc.draykcabsahtram.www.,1,0,0,,100,1.44665E+15,pDAw68rEVyDq,0
38,https://www.google.com/?gws_rd=ssl#q=toxic+waste+candy+local+store,toxic waste candy local store - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44665E+15,qOAjO5tLMa0k,0
39,http://www.toxicwastecandy.com/storeLocator.aspx,Toxic Waste Candy Online - Store Locator,moc.ydnacetsawcixot.www.,1,0,0,,100,1.44665E+15,0SxOEB6tmWa_,0
40,http://www.toxicwastecandy.com/storeLocator.aspx?cid=13,Toxic Waste Candy Online - Store Locator,moc.ydnacetsawcixot.www.,1,0,0,,100,1.44665E+15,o4ZmY3Rt1ksW,0
41,https://www.google.com/?gws_rd=ssl#q=poison+candies,poison candies - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44666E+15,mKm-e7O5cweC,0
42,https://www.google.com/?gws_rd=ssl#q=poisoned+candies,poisoned candies - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44666E+15,f-Pmn8uGWG21,0
43,https://www.google.com/?gws_rd=ssl#q=painless+poisons+for+death,painless poisons for death - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44666E+15,nggGz5vzhA_G,0
44,http://listverse.com/2012/12/02/10-poisons-used-to-kill-people/,10 Poisons Used To Kill People - Listverse,moc.esrevtsil.,1,0,0,17,100,1.44666E+15,HDR2kZTJ2uzb,0
45,https://www.google.com/?gws_rd=ssl#q=cyanide,cyanide - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44666E+15,-02HlPCzHWbr,0
46,https://www.google.com/search?client=ubuntu&channel=fs&q=arsenic&ie=utf-8&oe=utf-8,arsenic - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44666E+15,owGgQ-Qa7tko,0
47,https://www.google.com/search?client=ubuntu&channel=fs&q=mercury&ie=utf-8&oe=utf-8,mercury - Google Search,moc.elgoog.www.,1,0,0,11,100,1.44666E+15,m69ReZx195H7,0
